[34m % [39m[2mCoverage report from [22m[33mv8[39m
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
  ...tryService.ts |     100 |      100 |     100 |     100 |                   
  LoggerService.ts |     100 |      100 |     100 |     100 |                   
 logger/utils      |     100 |      100 |     100 |     100 |                   
  createLogger.ts  |     100 |      100 |     100 |     100 |                   
  ...ngerObject.ts |     100 |      100 |     100 |     100 |                   
  isObject.ts      |     100 |      100 |     100 |     100 |                   
  ...alizeError.ts |     100 |      100 |     100 |     100 |                   
  ...ForLogging.ts |     100 |      100 |     100 |     100 |                   
  shouldLog.ts     |     100 |      100 |     100 |     100 |                   
 ...entWeatherCard |     100 |      100 |     100 |     100 |                   
  ...atherCard.tsx |     100 |      100 |     100 |     100 |                   
 .../DailyForecast |     100 |      100 |     100 |     100 |                   
  ...yForecast.tsx |     100 |      100 |     100 |     100 |                   
 ...HourlyForecast |     100 |      100 |     100 |     100 |                   
  ...yForecast.tsx |     100 |      100 |     100 |     100 |                   
 ...nents/InfoGrid |     100 |      100 |     100 |     100 |                   
  InfoGrid.tsx     |     100 |      100 |     100 |     100 |                   
 ...etails/graphql |     100 |      100 |     100 |     100 |                   
  queries.ts       |     100 |      100 |     100 |     100 |                   
 ...rDetails/hooks |     100 |      100 |     100 |     100 |                   
  ...ityWeather.ts |     100 |      100 |     100 |     100 |                   
 ...rDetails/pages |     100 |      100 |     100 |     100 |                   
  ...tailsPage.tsx |     100 |      100 |     100 |     100 |                   
 ...ts/AddCityForm |     100 |      100 |     100 |     100 |                   
  AddCityForm.tsx  |     100 |      100 |     100 |     100 |                   
 ...tiesControlBar |     100 |      100 |     100 |     100 |                   
  ...sControls.tsx |     100 |      100 |     100 |     100 |                   
 ...nts/CitiesList |     100 |      100 |     100 |     100 |                   
  CitiesList.tsx   |     100 |      100 |     100 |     100 |                   
 ...nents/CityCard |     100 |      100 |     100 |     100 |                   
  CityCard.tsx     |     100 |      100 |     100 |     100 |                   
 ...tingCityLayout |     100 |      100 |     100 |     100 |                   
  ...ityLayout.tsx |     100 |      100 |     100 |     100 |                   
 ...recast/graphql |     100 |      100 |     100 |     100 |                   
  mutations.ts     |     100 |      100 |     100 |     100 |                   
  queries.ts       |     100 |      100 |     100 |     100 |                   
 ...Forecast/hooks |     100 |      100 |     100 |     100 |                   
  useAddCity.ts    |     100 |      100 |     100 |     100 |                   
  ...ddCityForm.ts |     100 |      100 |     100 |     100 |                   
  ...sPaginated.ts |     100 |      100 |     100 |     100 |                   
  ...ityActions.ts |     100 |      100 |     100 |     100 |                   
  useCityByName.ts |     100 |      100 |     100 |     100 |                   
  useCitySearch.ts |     100 |      100 |     100 |     100 |                   
  ...eAllCities.ts |     100 |      100 |     100 |     100 |                   
  useRemoveCity.ts |     100 |      100 |     100 |     100 |                   
  ...tingParams.ts |     100 |      100 |     100 |     100 |                   
  ...gglePinned.ts |     100 |      100 |     100 |     100 |                   
 ...Forecast/pages |     100 |      100 |     100 |     100 |                   
  CitiesPage.tsx   |     100 |      100 |     100 |     100 |                   
 ...ecast/services |     100 |      100 |     100 |     100 |                   
  CityService.ts   |     100 |      100 |     100 |     100 |                   
 ...Forecast/utils |     100 |      100 |     100 |     100 |                   
  getNextDays.ts   |     100 |      100 |     100 |     100 |                   
  ...Background.ts |     100 |      100 |     100 |     100 |                   
-------------------|---------|----------|---------|---------|-------------------
